Country,Rank,Education index,Education Expenditure Per Capita
Romania,51,0.762,$413
Russia,29,0.832,$527
Rwanda,133,0.45,$27
Saint Kitts and Nevis,83,0.68,$467
Saint Lucia,85,0.676,$314
Saint Vincent and the Grenadines,90,0.655,$457
Samoa,77,0.692,$196
São Tomé and Príncipe,109,0.557,$119
Saudi Arabia,44,0.787,"$1,036"
Senegal,149,0.368,$76
Serbia,47,0.778,$268
Seychelles,61,0.727,$675
Sierra Leone,145,0.39,$47
Singapore,29,0.832,"$1,522"
Slovakia,30,0.831,$772
Slovenia,16,0.886,"$1,294"
Solomon Islands,131,0.469,$220
Somalia,#N/A,#N/A,$2
South Africa,71,0.708,$385
South Korea,21,0.862,"$1,490"
South Sudan,157,0.297,$3
Spain,32,0.824,"$1,271"
Sri Lanka,54,0.749,$87
Sudan,153,0.328,$31
Suriname,94,0.636,$482
Swaziland,116,0.528,$183
Sweden,11,0.904,"$4,149"
Switzerland,14,0.897,"$4,217"
Syria,142,0.412,$131
Tajikistan,89,0.659,$51
Tanzania,136,0.441,$33
Thailand,87,0.661,$232
The Gambia,148,0.372,$22
Togo,121,0.506,$44
Tonga,49,0.77,$406
Trinidad and Tobago,64,0.722,$610
Tunisia,89,0.659,$285
Turkey,80,0.689,$408
Turkmenistan,97,0.626,$278
Uganda,118,0.525,$27
Ukraine,40,0.794,$201
United Arab Emirates,57,0.738,"$1,362"
United Kingdom,7,0.914,"$2,290"
United States,12,0.903,"$2,733"
Uruguay,59,0.733,$828
Uzbekistan,66,0.718,$90
Vanuatu,115,0.529,$69
Venezuela,56,0.741,$66
Vietnam,97,0.626,$138
Yemen,150,0.349,$62
Zambia,105,0.58,$57
Zimbabwe,108,0.558,$92
